Threshold of rejection,Value of the summary statistics
18.62,29.18
18.59,29.18
18.62,26.17
18.59,27.26
18.64,22.10
18.64,22.52
18.61,31.70
18.61,30.79
18.60,26.16
18.62,27.82
18.62,25.72
18.62,27.19
18.60,26.15
18.66,32.47
18.58,30.73
18.59,22.51
18.61,23.19
18.62,24.38
18.60,26.71
18.66,23.87
18.62,26.17
18.63,26.46
18.61,25.66
18.61,26.50
18.62,26.46
18.65,25.64
18.63,26.36
18.63,27.79
18.62,31.39
18.64,25.52
18.60,29.10
18.62,25.50
18.63,25.15
18.63,26.11
18.64,24.06
18.62,25.65
18.61,26.49
18.64,25.70
18.64,25.34
18.62,27.01
18.61,30.97
18.63,23.97
18.62,24.20
18.62,25.18
18.64,20.82
